Lambda  Total   NH2/H    sNH/H2   NH/H/H   NH3+     NH2+H    NH+H2    N+H2/H   H+NH2   
 1254.0 2.57E-17 1.12E-17 4.59E-18 9.95E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1256.0 1.45E-17 6.36E-18 2.57E-18 5.58E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1260.0 2.20E-18 9.82E-19 3.84E-19 8.34E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1262.0 5.21E-18 2.35E-18 9.02E-19 1.96E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1265.0 2.23E-17 1.02E-17 3.81E-18 8.31E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1268.0 9.50E-18 4.39E-18 1.61E-18 3.50E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1270.0 1.30E-17 6.07E-18 2.18E-18 4.76E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1270.5 2.79E-17 1.30E-17 4.67E-18 1.02E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1271.5 2.75E-17 1.29E-17 4.58E-18 1.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1275.0 3.50E-18 1.67E-18 5.75E-19 1.26E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1277.5 3.00E-18 1.45E-18 4.88E-19 1.07E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1280.0 5.20E-18 2.53E-18 8.36E-19 1.83E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1281.0 2.23E-17 1.09E-17 3.57E-18 7.83E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1282.0 1.34E-17 6.58E-18 2.14E-18 4.69E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1283.0 1.23E-17 6.06E-18 1.95E-18 4.29E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1284.0 1.94E-17 9.60E-18 3.07E-18 6.73E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1286.0 9.70E-18 4.84E-18 1.52E-18 3.34E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1287.0 1.53E-17 7.66E-18 2.39E-18 5.25E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1288.0 1.08E-17 5.43E-18 1.68E-18 3.69E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1289.5 3.13E-17 1.58E-17 4.83E-18 1.06E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1294.0 3.70E-18 1.91E-18 5.60E-19 1.23E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1295.0 3.40E-18 1.76E-18 5.12E-19 1.13E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1296.0 5.60E-18 2.91E-18 8.40E-19 1.85E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.22E-34
 1297.0 3.60E-18 1.88E-18 5.38E-19 1.19E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.00E-34
 1298.0 1.39E-17 7.27E-18 2.07E-18 4.56E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
